cidade,codestacao,datahora,id_sensor,latitude,longitude,nome,offset,qualificacao,uf,valor
SÃO PAULO,355030812A,2017-01-02 19:20:00,240,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 19:20:00,10,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 19:30:00,10,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 19:30:00,240,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 19:40:00,240,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 19:40:00,10,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 19:50:00,240,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 19:50:00,10,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 20:00:00,10,-23.531015,-46.632533,Luz,,4,SP,0.39268
SÃO PAULO,355030812A,2017-01-02 20:00:00,240,-23.531015,-46.632533,Luz,,4,SP,2.457337884
SÃO PAULO,355030812A,2017-01-02 20:10:00,240,-23.531015,-46.632533,Luz,,4,SP,1.8947368421
SÃO PAULO,355030812A,2017-01-02 20:10:00,10,-23.531015,-46.632533,Luz,,4,SP,0.39268
SÃO PAULO,355030812A,2017-01-02 20:20:00,240,-23.531015,-46.632533,Luz,,4,SP,1.8227848101
SÃO PAULO,355030812A,2017-01-02 20:20:00,10,-23.531015,-46.632533,Luz,,4,SP,0.39268
SÃO PAULO,355030812A,2017-01-02 20:30:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 20:30:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 20:40:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 20:40:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 20:50:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 20:50:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 21:00:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 21:00:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 21:10:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 21:10:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 21:20:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 21:20:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 21:30:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 21:30:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 21:40:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 21:40:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 21:50:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 21:50:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 22:00:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 22:00:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 22:10:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 22:10:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 22:20:00,10,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 22:20:00,240,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 22:30:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 22:30:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 22:40:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 22:40:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 22:50:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 22:50:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 23:00:00,10,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 23:00:00,240,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 23:10:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 23:10:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 23:20:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 23:20:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 23:30:00,240,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 23:30:00,10,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 23:40:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-02 23:40:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-02 23:50:00,240,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-02 23:50:00,10,-23.531015,-46.632533,Luz,,0,SP,0.0
SÃO PAULO,355030812A,2017-01-03 00:00:00,240,-23.531015,-46.632533,Luz,,4,SP,1.0
SÃO PAULO,355030812A,2017-01-03 00:00:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
SÃO PAULO,355030812A,2017-01-03 00:10:00,10,-23.531015,-46.632533,Luz,,4,SP,0.2
